-5.0000000000	0.2836621855	0
-4.7000000000	-0.0123886635	0
-4.4000000000	-0.3073328700	0
-4.1000000000	-0.5748239465	0
-3.8000000000	-0.7909677119	0
-3.5000000000	-0.9364566873	0
-3.2000000000	-0.9982947758	0
-2.9000000000	-0.9709581651	0
-2.6000000000	-0.8568887534	0
-2.3000000000	-0.6662760213	0
-2.0000000000	-0.4161468365	0
-1.7000000000	-0.1288444943	0
-1.4000000000	0.1699671429	0
-1.1000000000	0.4535961214	0
-0.8000000000	0.6967067093	0
-0.5000000000	0.8775825619	0
-0.2000000000	0.9800665778	0
0.1000000000	0.9950041653	0
0.4000000000	0.9210609940	0
0.7000000000	0.7648421873	0
1.0000000000	0.5403023059	0
1.3000000000	0.2674988286	0
1.6000000000	-0.0291995223	0
1.9000000000	-0.3232895669	0
2.2000000000	-0.5885011173	0
2.5000000000	-0.8011436155	0
2.8000000000	-0.9422223407	0
3.1000000000	-0.9991351503	0
3.4000000000	-0.9667981926	0
3.7000000000	-0.8481000317	0
4.0000000000	-0.6536436209	0
4.3000000000	-0.4007991721	0
4.6000000000	-0.1121525269	0
4.9000000000	0.1865123694	0
-5.0000000000	0.9589242747	1
-4.7000000000	0.9999232576	1
-4.4000000000	0.9516020739	1
-4.1000000000	0.8182771111	1
-3.8000000000	0.6118578909	1
-3.5000000000	0.3507832277	1
-3.2000000000	0.0583741434	1
-2.9000000000	-0.2392493292	1
-2.6000000000	-0.5155013718	1
-2.3000000000	-0.7457052122	1
-2.0000000000	-0.9092974268	1
-1.7000000000	-0.9916648105	1
-1.4000000000	-0.9854497300	1
-1.1000000000	-0.8912073601	1
-0.8000000000	-0.7173560909	1
-0.5000000000	-0.4794255386	1
-0.2000000000	-0.1986693308	1
0.1000000000	0.0998334166	1
0.4000000000	0.3894183423	1
0.7000000000	0.6442176872	1
1.0000000000	0.8414709848	1
1.3000000000	0.9635581854	1
1.6000000000	0.9995736030	1
1.9000000000	0.9463000877	1
2.2000000000	0.8084964038	1
2.5000000000	0.5984721441	1
2.8000000000	0.3349881502	1
3.1000000000	0.0415806624	1
3.4000000000	-0.2555411020	1
3.7000000000	-0.5298361409	1
4.0000000000	-0.7568024953	1
4.3000000000	-0.9161659367	1
4.6000000000	-0.9936910036	1
4.9000000000	-0.9824526126	1
